지역,1인가구비율,1인당 자동차 등록대수,EQ-5D지표,가구수,건강보험 적용인구 현황,고령인구비율,교원1인당 학생수,남녀성비,노인 천명당 노인여가복지시설수,대학교 수,대학교 학생수,도시지역면적,등록외국인 현황,비만율,사망률,사망자수,소년·소녀가정현황,순이동인구,스트레스 인지율,아파트매매가격지수,아파트월세통합가격지수,유아 천명당 보육시설수,음주율,흡연율,인구 십만명당 문화기반시설수,인구 십만명당 사회복지시설수,인구 십만명당 자살률,인구 천명당 사설학원수,인구 천명당 사업체수,인구 천명당 외국인수,인구 천명당 의료기관병상수,인구 천명당 의료기관종사의사수,인구 천명당 종사자수,인구증가율,일반회계중 사회복지예산비중,일반회계중 일반공공행정예산비중,자동차 천대당 교통사고발생건수,장애인고용률,재정자주도,전입인구,전출인구,조이혼율,조혼인율,주관적건강수준 인지율,주민등록인구,주택월세통합가격지수,지가변동률,초등학교수,출생아수,토지거래 면적,토지거래현황,폐수배출업소수,합계출산율,총합계,공원율,다문화학생수,한부모가구수,아파트비율,주택보급율, cctv대수,단순직비율,전문직비율,서비스.사무직,1차산업비율,2차산업비율,3차산업비율,체육시설,강력범죄발생건수,유치원 교원비율,초등학교 교원비율
강남구,0.3891213389121341,1.0,0.5172413793103487,0.8699327643039578,0.8648421993707459,0.021238938053097067,0.1849957374254052,0.0,0.47953216374269014,0.0,0.0,0.8108108108108109,0.08754154604910476,0.0,0.0,0.5120540019286404,0.16666666666666666,0.6886586177393288,1.0,0.0,0.4893617021276597,0.07105263157894726,0.20833333333333393,0.38157894736842124,0.0830945558739255,0.046347211311861786,0.3441558441558441,0.9999999999999999,0.17176206696020602,0.03504482477587612,0.5591939546599497,0.5008987417615337,0.33108577653400445,0.777027027027027,0.4145638067772168,0.7984644913627638,0.47923322683706066,0.0,0.8588235294117645,1.0,1.0000000000000002,0.09090909090909083,0.25,0.5524861878453042,0.8432251028398579,0.46666666666666856,1.0,0.7000000000000001,0.7388343681153615,0.5525,0.5525,0.21826280623608016,0.12359550561797761,0.8990846344010559,0.16171993911719937,0.001892854558648171,0.3239277652370203,0.6867195907735083,0.4535519125683063,1.0,0.043293792833102585,0.9292554488843058,0.3663769866112041,0.7046764894298528,0.021874666570618595,0.9776834713233713,1.0,1.0,0.9999999999999996,0.3855980076478196
강동구,0.17991631799163177,0.36842105263157876,0.2758620689655231,0.6085103363967779,0.6074841874619132,0.17345132743362823,0.1346973572037511,0.6046128500823711,0.21637426900584789,0.0,0.0,0.4054054054054054,0.07140559665487295,0.08450704225352057,0.36293136874757637,0.5631629701060753,0.0,0.0,0.09345794392523343,0.3714285714285719,1.0,0.4903508771929824,0.14583333333333304,0.46052631578947345,0.025787965616045846,0.48232521602513745,0.6168831168831168,0.28846153846153844,0.04284705491401512,0.04563977180114099,0.5602015113350126,0.1390053924505692,0.042506370164466074,0.0,0.701153568853641,0.18426103646833003,0.12332268370607019,0.40731707317073157,0.3176470588235294,0.6064052272804351,0.7780022495713803,0.36363636363636354,0.25,0.541436464088398,0.6227914450707018,1.0,0.5565217391304349,0.4666666666666667,0.5926296815541758,0.5630000000000001,0.5630000000000001,0.21603563474387524,0.6264044943820224,0.5909938513141477,0.10578386605783865,0.005214434935321333,0.44093303235515424,0.46793518207971097,0.16393442622950793,0.22563176895306863,0.5879296397967411,0.3131988321542535,0.49399688466577985,0.8620157395050178,0.2415229865367683,0.7579194185557361,0.11336032388663969,0.43339492692759957,0.0,0.434276326991216
강북구,0.35564853556485365,0.0,0.0,0.39268484358968764,0.35088838669129685,0.9823008849557517,0.16794543904518333,0.40691927512355885,0.08187134502923965,0.0,0.0,0.3783783783783784,0.04165326471534256,0.943661971830986,0.9999999999999998,0.5617164898746384,0.0,0.7474569826029089,0.5514018691588785,0.9571428571428573,0.2765957446808507,0.4912280701754387,0.0,0.9473684210526319,0.04558478770513155,0.7407698350353495,1.0,0.0,0.023739303813242504,0.05144661776691117,0.24130982367758186,0.011384062312762122,0.010893450782262455,0.5765765765765766,0.7267483777937995,0.3761996161228406,0.3552715654952076,1.0,0.1450980392156862,0.3098949795950666,0.3198541054677689,0.8181818181818181,0.0,0.5138121546961325,0.38374840291898704,0.0,0.21304347826086967,0.06666666666666665,0.2519527338273583,0.2735,0.2735,0.05345211581291759,0.3061797752808988,0.322600636177171,0.9999999999999999,0.0031460975405257267,0.809255079006772,0.09906810041902925,0.5846994535519121,0.19494584837545129,0.8635298076694551,0.0,0.5627826808041414,0.0,0.36873186907333144,0.631579919801637,0.14574898785425103,0.2675961699983202,0.5442772299370753,0.48338904924504345
강서구,0.2594142259414226,0.4736842105263157,0.6206896551724199,0.9009692418520379,0.8396682184699614,0.2106194690265486,0.1577152600170506,0.2883031301482708,0.5204678362573099,0.16666666666666666,0.021710319421357652,0.8378378378378378,0.12378042242950572,0.23943661971830954,0.5207444746025591,0.9083895853423337,1.0,0.9780872706531039,0.1495327102803734,0.14285714285714413,0.2765957446808507,0.47456140350877185,0.14583333333333304,0.5263157894736841,0.03230007814535035,0.401413982717989,0.6103896103896105,0.16346153846153846,0.023946996759990014,0.056438467807660965,0.2070528967254408,0.005392450569203122,0.050770367309630686,0.9954954954954954,1.0,0.0,0.06581469648562305,0.21951219512195125,0.0,0.8424920019444038,0.7813547661428588,0.45454545454545436,0.84375,0.24309392265193353,0.8667562092077916,0.08888888888888857,0.5913043478260871,0.7999999999999999,0.9825756058481874,0.7115,0.7115,0.3229398663697105,0.887640449438202,0.8716716501464241,0.04280821917808217,0.009092011898270838,0.8984198645598194,0.500927559853551,0.4480874316939891,0.2779783393501805,0.5220928141707071,0.30598275879435965,0.714280733795511,0.1948169043110888,0.10738591517439988,0.8926882566650249,0.5222672064777328,0.4906769695951621,0.9746217952496017,0.3288998114293573
관악구,1.0,0.05263157894736836,0.44827586206896797,1.0,0.7068027821661697,0.41946902654867246,0.0017050298380223428,0.8228995057660624,0.0,0.16666666666666666,0.2366233882923761,0.5405405405405406,0.46555698509703014,0.18309859154929597,0.347809228383094,0.6359691417550627,0.0,0.6816237284913014,0.19626168224299034,0.29999999999999893,0.12765957446808684,0.48245614035087725,0.48958333333333304,0.8947368421052628,0.025787965616045846,0.4925373134328359,0.5454545454545454,0.06089743589743593,0.013562349422613598,0.32915647921760394,0.1586901763224181,0.0,0.01806810284920083,0.7184684684684685,0.7876712328767121,0.3512476007677542,0.25750798722044727,0.6878048780487804,0.2666666666666664,0.8423337365333092,0.849311478274164,0.36363636363636354,0.78125,0.35359116022099446,0.7182047593481852,0.1777777777777807,0.40434782608695663,0.33333333333333326,0.6116563188463849,0.319,0.319,0.048997772828507785,0.05617977528089879,0.747247885597137,0.550228310502283,0.009144273180074311,0.5316027088036117,0.07538887900014529,0.0,0.6498194945848376,0.5450983657366488,0.46614532152771215,0.18242402853318573,0.24707996406109617,0.17501196318523338,0.8250228225848941,0.48987854251012153,0.6183436922560055,0.5276391621701921,0.5859632794732952
광진구,0.6987447698744772,0.21052631578947367,0.3793103448275872,0.5442926062564124,0.4310542774563161,0.14867256637168125,0.7007672634271103,0.3525535420098853,0.22807017543859653,0.5,0.4427759557931623,0.1891891891891892,0.3434116007290661,0.26760563380281654,0.40286932919736307,0.37753134040501446,0.0,0.7331970719650156,0.4018691588785046,0.5714285714285712,0.2978723404255348,0.493859649122807,0.4375,0.3157894736842106,0.039854128679343584,0.42498036135113904,0.3246753246753247,0.1762820512820513,0.04801860928802855,0.36073757131214346,0.2634760705289672,0.09526662672258836,0.05231047586850227,0.7117117117117117,0.4430425378514782,0.63915547024952,0.19105431309904147,0.2609756097560975,0.533333333333333,0.4385421494703762,0.4474026186758106,0.36363636363636354,0.625,0.5248618784530388,0.4389255643331357,0.06666666666666643,0.4565217391304348,0.33333333333333326,0.40957340276386944,0.1755,0.1755,0.042316258351893093,0.2528089887640448,0.4335880387201296,0.21860730593607305,0.06538841195694467,0.4115876598946576,0.0,0.48087431693989124,0.04151624548736462,0.5641525284624848,0.36353192095790765,0.42079378623727237,0.0,0.3851123176136928,0.6152023681606806,0.8259109311740891,0.5451033092558375,0.7146287610174942,0.46652619853185495
구로구,0.2594142259414226,0.5263157894736843,0.2758620689655231,0.6283863432949857,0.5664642381613709,0.40176991150442465,0.4168797953964196,0.6021416803953867,0.7543859649122806,0.5,0.18193764320050315,0.2702702702702703,0.8178674815053072,0.323943661971831,0.4020938348196974,0.502410800385728,0.0,0.6426941724498526,0.35514018691588767,0.5285714285714302,0.06382978723404165,0.5850877192982457,0.0,0.3026315789473686,0.05496222974733003,0.35428122545168894,0.3896103896103895,0.07692307692307696,0.09088643349671842,0.7267726161369193,0.36977329974811085,0.07249850209706409,0.10098354087235256,0.7184684684684685,0.738284066330209,0.236084452975048,0.1092651757188498,0.27073170731707313,0.2627450980392154,0.4185102702947129,0.4488440915990522,0.45454545454545436,0.65625,0.270718232044199,0.5543886757369021,0.13333333333333286,0.37391304347826093,0.4,0.671139595433607,0.3635,0.3635,0.2071269487750557,1.0,0.5634289669096124,0.14250380517503805,0.2148487053234007,0.392400300978179,0.4551842156271787,0.557377049180328,0.38989169675090257,0.6489885497796808,0.2971597976271593,0.3552923243844255,0.17311103904774622,0.4850765181676837,0.5150857735608572,0.2591093117408907,0.500923903913993,0.627489241183294,0.48849739658374736
금천구,0.5606694560669457,0.6315789473684208,0.5517241379310391,0.2596542164203541,0.20141668115313566,0.4761061946902654,0.037510656436487766,1.0000000000000009,0.23976608187134496,0.0,0.0,0.08108108108108109,0.47936099496086626,1.0,0.6948429623885224,0.21697203471552562,0.6666666666666666,0.818851601863295,0.27102803738317727,0.5285714285714302,0.0,0.8561403508771929,0.5729166666666661,0.8157894736842106,0.0408960666840323,0.7454831107619796,0.5974025974025974,0.06089743589743593,0.17103514164658967,0.7993072534637327,0.33098236775818635,0.012582384661473933,0.24037588665802703,0.6801801801801801,0.592645998558039,0.9846449136276391,0.10287539936102236,0.3048780487804877,0.3490196078431371,0.15801670830554268,0.1567383399036834,0.909090909090909,0.34375,0.0,0.20680398601490171,0.11111111111111072,0.4478260869565218,0.16666666666666663,0.19607450430602844,0.237,0.237,0.4164810690423162,0.7668539325842696,0.17320539172501764,0.16628614916286152,0.009428053062410631,0.4356659142212189,0.1547767465983616,0.6994535519125682,0.4314079422382672,0.9999999999999998,0.05175013940921369,0.0,0.4309935410334346,1.0,0.0,0.2064777327935223,0.18763648580547626,0.7138951713046393,0.8443145640755523
노원구,0.10460251046025104,0.21052631578947367,1.0,0.8218035757165623,0.7986215249189553,0.293805309734513,0.5532821824381928,0.2405271828665576,0.7017543859649122,1.0,0.5676917202030639,0.6756756756756758,0.04393159644044173,0.15492957746478808,0.6723536254362152,1.0,0.16666666666666666,0.4910162562981271,0.1308411214953269,0.5571428571428587,0.2765957446808507,0.9999999999999999,0.17708333333333304,0.3421052631578947,0.04271945819223756,0.4296936370777691,0.6688311688311688,0.21474358974358979,0.0,0.0065199674001629945,0.22972292191435767,0.06890353505092868,0.00737812169361856,0.5405405405405406,0.935472242249459,0.4548944337811899,0.022364217252396124,0.8878048780487806,0.0117647058823529,0.6042347302139975,0.6630993851899578,0.2727272727272727,0.09375,0.5580110497237567,0.8396483896372591,0.022222222222222143,0.42173913043478284,0.9999999999999999,0.7121970759062688,0.309,0.309,0.15812917594654788,0.7949438202247192,0.8355820273328334,0.6046423135464231,0.005647600167142249,1.0,1.0,0.5409836065573774,0.759927797833935,0.5223236450032341,0.287411366151343,0.7671702259147972,0.25098319034897026,0.0,1.0,0.8016194331983806,0.41424491852847306,0.578324495000953,0.29103840971451467
도봉구,0.07949790794979072,0.21052631578947367,0.6551724137931032,0.384444104870222,0.4021475633122372,0.6194690265486726,0.2762148337595911,0.4093904448105441,0.42105263157894735,0.16666666666666666,0.08065276966620244,0.29729729729729726,0.0,0.3943661971830985,0.7797595967429232,0.5241080038572806,0.5,0.8068732769274645,0.26168224299065423,0.757142857142858,0.3404255319148959,0.8552631578947368,0.4166666666666661,0.15789473684210575,0.0489710862203699,0.9999999999999999,0.7077922077922079,0.1121794871794872,0.015763894658137406,0.0,0.3244332493702771,0.0005991611743559055,0.00606652517701857,0.6869369369369369,0.7173756308579669,0.8829174664107483,0.012779552715654896,0.8390243902439025,0.30980392156862746,0.32651284775997924,0.32225656033983824,0.6363636363636365,0.0,0.3646408839779003,0.4218519966552493,0.13333333333333286,0.30000000000000004,0.3666666666666666,0.3154416182655718,0.271,0.271,0.10690423162583518,0.553370786516854,0.36951870397899017,0.7722602739726027,0.0032703060710583477,0.5872836719337847,0.5386406291523888,0.6065573770491808,0.021660649819494594,0.7050285664816269,0.09822714248691622,0.7595432656659753,0.7024809381894183,0.20956756279490796,0.7900259258012863,0.1862348178137652,0.0,0.4918455658231422,0.3475610538106366
