지역,1인가구비율 (%),1인당 자동차 등록대수 (대),EQ-5D지표,가구수 (가구),건강보험 적용인구 현황,고령인구비율 (%),교원1인당 학생수 (명),남녀성비 (%),노인 천명당 노인여가복지시설수 (개),대학교 수 (개),대학교 학생수 (명),도로포장률 (%),도시지역면적 (km²),등록외국인 현황  (명),비만율 (%),사망률 (인구 10만명당 사망자),사망자수 (명),상수도보급률 (%),소년·소녀가정현황 (명),순이동인구 (명),스트레스 인지율 (%),아파트매매가격지수 (명),아파트월세통합가격지수 (명),유아 천명당 보육시설수 (개),음주율 (%),흡연율 (%),인구 십만명당 문화기반시설수 (개),인구 십만명당 사회복지시설수 (개),인구 십만명당 자살률 (명),인구 천명당 사설학원수 (개),인구 천명당 사업체수 (개),인구 천명당 외국인수 (명),인구 천명당 의료기관병상수 (개),인구 천명당 의료기관종사의사수 (명),인구 천명당 종사자수 (명),인구증가율 (%),일반회계중 사회복지예산비중 (%),일반회계중 일반공공행정예산비중 (%),자동차 천대당 교통사고발생건수 (건),장애인고용률 (%),재정자주도 (%),전입인구 (명),전출인구 (명),조이혼율 (천명당),조혼인율 (천명당),주관적건강수준 인지율 (%),주민등록인구 (명),주택월세통합가격지수 (명),지가변동률 (%),초등학교수 (개),출생아수 (명),토지거래 면적 (천㎡),토지거래현황 (천m²),폐수배출업소수 (개소),하수도보급률 (%),합계출산율 (명),총합계,공원율,다문화학생수,한부모가구수,아파트비율,주택보급율, cctv대수,단순직비율,전문직비율,서비스.사무직,1차산업비율,2차산업비율,3차산업비율,체육시설,강력범죄발생건수,유치원 교원비율,초등학교 교원비율
강남구,29.3,0.42,0.953,214911,583900,10.44,14.96,92.12,2.18,,,100,40,5265,22.8,308.8,1751,100,1.0,-5986,38.5,90.0,101.1,9.27,62.1,19.8,4.16,2.95,20.5,3.81,127.65,9.13,12.72,10.11,1233.8,-0.29,44.3,8.33,14.61,1.59,67.6,108537,114523,1.5,6.0,48.7,576495,102.7,3.8,33,4595,1345,1345,131,100,0.857,1916616.32,16.7,1814627,"1,278",61.90601673070842,97.4,584,11.905563735471947,43.88842768083707,44.20600858369099,0.010871042261176791,5.5279249898083975,94.46120396793043,278,"8,617",8.14146688820318,6.481442912483859
강동구,24.3,0.3,0.946,167009,449179,11.3,14.37,99.46,1.73,,,100,25,4663,23.4,402.4,1857,100,,-20474,28.8,92.6,103.5,14.05,61.5,20.4,1.96,8.5,24.7,1.59,65.58,10.17,12.74,4.07,311.91,-3.74,52.25,5.13,9.04,3.26,53.8,73720,94194,1.8,6.0,48.5,458658,105.1,2.78,26,3865,1366,1366,130,100,1.036,1435857.2519999999,13.76,3117041,"1,589",49.02027655484591,92.1,155,26.258041146829164,28.425883895697783,45.31607495747305,0.013298314438644902,8.976362246085309,91.01033943947606,59,"5,244",6.449553001277139,6.586493987049029
강북구,28.5,0.23,0.938,127462,314857,15.87,14.76,97.06,1.5,,,100,24,3553,29.5,566.7,1854,100,,-4749,33.7,96.7,100.1,14.06,60.1,24.1,2.72,11.79,30.6,0.69,56.38,10.74,6.41,1.94,210.92,-1.18,52.96,6.13,12.67,5.69,49.4,47491,52240,2.3,5.2,48.0,330873,100.6,1.99,14,2164,787,787,57,100,0.922,1017044.1,60.76,2306032,"2,568",27.295120717253734,99.8,138,33.52077496431781,20.56483586192314,45.91438917375905,0.0,10.973517744183553,89.02648225581645,67,"4,257",7.3704232049453156,6.69248253219968
강서구,26.2,0.32,0.956,220598,570722,11.51,14.64,95.62,2.25,1.0,1933.0,100,41,6617,24.5,443.1,2573,100,6.0,103,29.4,91.0,100.1,13.87,61.5,20.9,2.21,7.47,24.6,1.2,56.48,11.23,5.73,1.84,338.31,0.68,60.54,4.17,8.14,2.49,45.7,94604,94501,1.9,7.9,43.1,589074,101.0,2.86,36,5812,1663,1663,178,100,1.129,1873839.835,10.45,4637465,"2,805",50.963427853038276,97.3,184,24.523080883194144,28.244766045074932,47.23215307173093,0.00300543984612148,6.870435488233703,93.12655907192018,160,"5,585",8.09852915116073,6.359084406294707
관악구,43.9,0.24,0.951,238744,501170,12.69,12.81,102.11,1.36,1.0,21068.0,100,30,19368,24.1,398.5,2008,100,,-6134,29.9,92.1,99.4,13.96,64.8,23.7,1.96,8.63,23.6,0.88,51.48,38.0,4.77,1.75,233.84,-0.55,54.65,6.0,11.14,4.41,52.5,94590,100724,1.8,7.7,45.1,509663,101.4,2.43,22,3960,878,878,55,100,0.833,1679683.254,37.12,4657957,"1,830",25.900486169974375,89.1,390,25.12933304420557,32.26472228245718,42.60594467333726,0.0038117019249094726,7.9321517057366115,92.06403659233848,152,"6,345",7.342273027038909,6.913844593452414
광진구,36.7,0.27,0.9490000000000001,155242,356822,11.16,21.01,96.4,1.75,3.0,39423.0,100,17,14811,24.7,412.7,1472,100,,-5049,32.1,94.0,100.2,14.09,64.3,19.3,2.5,7.77,20.2,1.24,68.07,41.1,6.85,3.34,343.23,-0.58,45.09,7.5,10.1,2.66,59.3,58871,63920,1.8,7.2,48.2,360369,100.9,2.55,22,2951,591,591,52,100,0.903,1190233.962,19.69,26711662,"1,511",21.460309135672976,97.9,53,25.631456511912504,29.689205428706877,44.67933805938061,0.0,11.230687701275937,88.76931229872407,235,"5,909",7.658643326039387,6.656091370558376
구로구,26.2,0.33,0.946,170651,427706,12.59,17.68,99.43,2.65,3.0,16199.0,100,20,32512,25.1,412.5,1731,100,,-6953,31.6,93.7,99.1,15.13,60.1,19.2,3.08,6.87,21.2,0.93,88.71,77.03,8.96,2.96,498.72,-0.55,53.28,5.4,8.82,2.7,52.4,57099,64052,1.9,7.3,43.6,422092,101.2,2.36,24,4257,967,967,126,100,1.169,1392843.735,15.69,85316048,"1,460",48.269283183428726,99.3,246,27.86709172838361,28.023316555437844,44.10959171617855,0.002670583522499666,12.8001068233409,87.1972225931366,95,"5,646",7.511210762331838,6.703506688013221
금천구,33.4,0.35,0.9540000000000001,103086,236612,13.01,13.23,104.26,1.77,,,100,13,19883,29.9,488.0,1139,100,4.0,-3247,30.7,93.7,98.8,18.22,65.6,23.1,2.54,11.85,24.4,0.88,127.3,84.15,8.19,1.96,944.02,-0.72,49.24,9.3,8.72,2.84,54.6,34056,37303,2.4,6.3,38.7,236284,101.1,2.53,17,1885,714,714,220,100,1.0859999999999999,783920.87,16.94,4769229,"1,575",30.57619154173193,101.9,269,37.11709599912933,21.863724267260505,41.01917973361016,0.006648936170212766,20.8843085106383,79.10904255319149,82,"3,781",7.657402155416904,7.471383975026015
노원구,22.5,0.27,0.9670000000000001,206092,549235,11.98,19.28,95.04,2.56,6.0,50545.0,100,35,3638,23.9,482.2,2763,100,1.0,-10144,29.2,93.9,100.1,19.86,61.8,19.5,2.61,7.83,25.5,1.36,44.95,6.33,6.18,2.9,199.69,-1.34,58.75,6.54,7.46,5.23,46.0,73528,83672,1.7,5.5,48.8,574583,100.7,2.47,42,4462,858,858,104,100,1.0959999999999999,1817523.9230000002,39.98,3286888,"3,075",80.35728562862282,99.0,451,24.52916383628686,27.778638478070018,47.69219768564312,0.0038719169860998177,5.184496844387657,94.81163123862625,229,"5,130",7.428028245518741,6.27737696469982
도봉구,21.9,0.27,0.9570000000000001,125952,341690,13.82,16.03,97.09,2.08,1.0,7181.0,100,21,1999,25.6,509.9,1776,100,3.0,-3499,30.6,95.3,100.4,18.21,64.1,18.1,2.85,15.09,26.1,1.04,52.54,5.69,8.06,1.76,195.5,-0.69,52.7,8.77,7.31,5.03,53.6,48961,52460,2.1,5.2,45.3,351242,101.2,2.19,23,2481,782,782,81,100,1.01,1090257.217,48.79,2354735,"1,978",53.18461360900892,100.2,42,29.343882281798024,23.030261036081434,47.625856682120535,0.01083717149823896,8.474668111622867,91.51449471687889,77,"2,664",7.28171334431631,6.399356617647059
